,airport_id,city,state,name
322,15411,Tyler,TX,Tyler Pounds Regional
323,15569,Victoria,TX,Victoria Regional
324,10155,Waco,TX,Waco Regional
325,14960,Wichita Falls,TX,Sheppard AFB/Wichita Falls Municipal
326,10918,Cedar City,UT,Cedar City Regional
327,13829,Ogden,UT,Ogden-Hinckley
328,14314,Provo,UT,Provo Municipal
329,14869,Salt Lake City,UT,Salt Lake City International
330,14794,St. George,UT,St George Municipal
331,10990,Charlottesville,VA,Charlottesville Albemarle
332,13139,Lynchburg,VA,Lynchburg Regional/Preston Glenn Field
333,14098,Newport News/Williamsburg,VA,Newport News/Williamsburg International
334,13931,Norfolk,VA,Norfolk International
335,14524,Richmond,VA,Richmond International
336,14574,Roanoke,VA,Roanoke Regional/Woodrum Field
337,15024,Charlotte Amalie,VI,Cyril E King
338,15027,Christiansted,VI,Henry E. Rohlsen
339,10785,Burlington,VT,Burlington International
340,10666,Bellingham,WA,Bellingham International
341,13546,Moses Lake,WA,Grant County International
342,14252,Pasco/Kennewick/Richland,WA,Tri Cities
343,10559,Seattle,WA,Boeing Field/King County International
344,14747,Seattle,WA,Seattle/Tacoma International
345,11884,Spokane,WA,Spokane International
346,16101,Yakima,WA,Yakima Air Terminal/McAllister Field
347,10408,Appleton,WI,Outagamie County Regional
348,11471,Eau Claire,WI,Chippewa Valley Regional
349,11977,Green Bay,WI,Austin Straubel International
350,13076,La Crosse,WI,La Crosse Municipal
351,13485,Madison,WI,Dane County Regional-Truax Field
352,13342,Milwaukee,WI,General Mitchell International
353,11203,Mosinee,WI,Central Wisconsin
354,14520,Rhinelander,WI,Rhinelander/Oneida County
355,12223,Ashland,WV,Tri-State/Milton J. Ferguson Field
356,11146,Charleston/Dunbar,WV,Yeager
357,11027,Clarksburg/Fairmont,WV,North Central West Virginia
358,13121,Lewisburg,WV,Greenbrier Valley
359,11122,Casper,WY,Casper/Natrona County International
360,11233,Cheyenne,WY,Cheyenne Regional/Jerry Olson Field
361,11097,Cody,WY,Yellowstone Regional
362,11865,Gillette,WY,Gillette Campbell County
363,12441,Jackson,WY,Jackson Hole
364,14543,Rock Springs,WY,Rock Springs Sweetwater County
